Block,Field,US,UK English,Dansk (DK),Svenska (SE),Norsk (NO),Suomi (FI),Deutschland (DE)
A,Headline,Cash & Instant-Access Savings,Cash & Instant-Access Savings,Kontanter og frie opsparinger,Kontanter och tillgängligt sparande,Kontanter og tilgjengelig sparing,Käteinen ja nostettavissa olevat säästöt,
,Subtitle,Money you could spend this week without selling anything or paying a penalty.,Money you could spend this week without selling anything or paying a penalty.,Penge du kan bruge i denne uge uden at sælge noget eller betale gebyr.,Pengar du kan använda den här veckan utan att sälja något eller betala en avgift.,Penger du kan bruke denne uken uten å selge noe eller betale gebyr.,"Rahat, jotka voit käyttää tällä viikolla myymättä mitään tai maksamatta kuluja.",
,Examples,"Checking account, high-yield savings, money market account, joint household account, cash in payment apps, physical cash","Current account, instant-access savings, cash ISA, Premium Bonds, joint household account, e-money balances (Revolut, Wise), physical cash","Lønkonto, budgetkonto, fri opsparingskonto, fælles husholdningskonto, MobilePay-/Revolut-saldo, kontanter","Lönekonto, sparkonto utan bindningstid, gemensamt hushållskonto, saldo i Revolut/Wise, kontanter","Brukskonto, sparekonto uten binding, felles husholdningskonto, saldo i Revolut/Wise, kontanter","Käyttötili, säästötili ilman määräaikaa, yhteinen kotitaloustili, Revolut-/Wise-saldo, käteinen",
,NotHere,"Not here: stocks, funds and ETFs, even though you can sell them fast — their value moves, so they go in C. Money locked for a fixed term → B. Retirement accounts → E.","Not here: shares, funds and ETFs, even though you can sell them fast — their value moves, so they go in C. Money locked for a fixed term → B. Pensions → E.","Ikke her: aktier, fonde og ETF’er — selvom du kan sælge dem hurtigt, svinger værdien, så de hører til i C. Bundne midler → B. Pension → E.","Inte här: aktier, fonder och ETF:er — även om du kan sälja snabbt rör sig värdet, så de hör hemma i C. Bundet sparande → B. Pension → E.","Ikke her: aksjer, fond og ETF-er — selv om du kan selge raskt, svinger verdien, så de hører hjemme i C. Bundet sparing → B. Pensjon → E.","Ei tähän: osakkeet, rahastot ja ETF:t — vaikka ne voi myydä nopeasti, arvo heiluu, joten ne kuuluvat kohtaan C. Määräaikaiset säästöt → B. Eläkkeet → E.",
,Tip,A common rule of thumb is to keep 3–6 months of essential spending here. Fill in Monthly Spending (K) first and you will see what that means for you.,A common rule of thumb is to keep 3–6 months of essential spending here. Fill in Monthly Outgoings (K) first and you will see what that means for you.,"En udbredt tommelfingerregel er at have 3–6 måneders faste udgifter stående her. Udfyld Månedlige udgifter (K) først, så kan du se hvad det svarer til for dig.",En vanlig tumregel är att ha 3–6 månaders nödvändiga utgifter här. Fyll i Månatliga utgifter (K) först så ser du vad det innebär för dig.,"En vanlig tommelfingerregel er å ha 3–6 måneders nødvendige utgifter her. Fyll ut Månedlige utgifter (K) først, så ser du hva det betyr for deg.","Yleinen nyrkkisääntö on pitää täällä 3–6 kuukauden välttämättömät menot. Täytä Kuukausittaiset menot (K) ensin, niin näet mitä se sinulle tarkoittaa.",
,Placeholder,e.g. Chase checking account,e.g. Barclays current account,"f.eks. Lønkonto, Danske Bank","t.ex. Lönekonto, Swedbank","f.eks. Brukskonto, DNB","esim. Käyttötili, OP",
,,,,,,,,
A2,Headline,Credit Cards & Short-Term Debt,Credit Cards & Short-Term Debt,Kreditkort og kortfristet gæld,Kreditkort och kortfristiga skulder,Kredittkort og kortsiktig gjeld,Luottokortit ja lyhytaikaiset velat,
,Subtitle,"What you owe on cards and flexible credit — the balance you carry, not this month’s payment.","What you owe on cards and flexible credit — the balance you carry, not this month’s payment.","Hvad du skylder på kort og fleksibel kredit — den saldo du trækker med dig, ikke månedens ydelse.","Vad du är skyldig på kort och flexibla krediter — saldot du bär med dig, inte månadens betalning.","Hva du skylder på kort og fleksibel kreditt — saldoen du drar med deg, ikke månedens betaling.","Mitä olet velkaa korteista ja joustoluotoista — kannettava saldo, ei kuukauden maksuerä.",
,Examples,"Credit card balance, overdraft, buy-now-pay-later (Klarna, Affirm), store card, 0% purchase credit","Credit card balance, overdraft, buy-now-pay-later (Klarna, Clearpay), store card, 0% purchase credit","Kreditkortgæld, kassekredit, ViaBill/Klarna, kontokort, rentefri afbetaling på et køb","Kreditkortsskuld, checkkredit, Klarna/delbetalning, kontokort, räntefri avbetalning","Kredittkortgjeld, brukskreditt, Klarna/delbetaling, kontokort, rentefri avbetaling","Luottokorttivelka, tililuotto, Klarna/osamaksu, kanta-asiakasluotto, koroton osamaksu",
,NotHere,Not here: mortgage and auto loans → D2. Personal loans and student loans → B2. The monthly payment itself → K.,Not here: mortgage and car finance → D2. Personal loans and student loans → B2. The monthly payment itself → K.,Ikke her: realkredit- og billån → D2. Forbrugslån og SU-lån → B2. Selve den månedlige ydelse → K.,Inte här: bolån och billån → D2. Privatlån och CSN → B2. Själva månadsbetalningen → K.,Ikke her: bolig- og billån → D2. Forbrukslån og studielån → B2. Selve månedsbetalingen → K.,Ei tähän: asunto- ja autolainat → D2. Kulutus- ja opintolainat → B2. Itse kuukausierä → K.,
,Tip,"Put the interest rate in the name, e.g. “Visa 22.9%”. Debt at this kind of rate is almost always the first thing worth clearing.","Put the interest rate in the name, e.g. “Barclaycard 22.9%”. Debt at this kind of rate is almost always the first thing worth clearing.","Skriv renten i navnet, f.eks. “Visa 22,9%”. Gæld til den slags rente er næsten altid det første, der bør betales ud.","Skriv räntan i namnet, t.ex. “Visa 22,9%”. Skulder med den räntan är nästan alltid det första värt att lösa.","Skriv renten i navnet, f.eks. “Visa 22,9%”. Gjeld til den renten er nesten alltid det første som bør betales ned.","Kirjoita korko nimeen, esim. “Visa 22,9%”. Tämän korkotason velka kannattaa lähes aina maksaa ensin pois.",
,Placeholder,e.g. Visa card 22.9%,e.g. Barclaycard 22.9%,"f.eks. Visa/Dankort-kredit 22,9%","t.ex. Kreditkort SEB 22,9%","f.eks. Kredittkort DNB 22,9%","esim. Luottokortti Nordea 22,9%",
,,,,,,,,
