Block,Field,US,UK English,Dansk (DK),Svenska (SE),Norsk (NO),Suomi (FI)
A,Headline,Highly Liquid Assets,Highly Liquid Assets,Meget likvide aktiver,Höglikvida tillgångar,Svært likvide eiendeler,Erittäin likvidit varat
,Subtitle,"Cash, savings and readily accessible assets","Cash, savings, stocks and shares, and readily accessible assets","Kontanter, opsparing, aktier og let tilgængelige aktiver","Kontanter, sparande, aktier och lättillgängliga tillgångar","Kontanter, sparing, aksjer og lett tilgjengelige eiendeler","Käteinen, säästöt, osakkeet ja helposti realisoitavat varat"
A2,Headline,Short-Term Debt,Short-Term Debt,Kortfristet gæld,Kortfristiga skulder,Kortsiktig gjeld,Lyhytaikaiset velat
,Subtitle,Short-term borrowing and credit balance,Short-term borrowing and credit card balances,Kortfristede lån og kassekredit/kreditkortgæld,Kortfristiga lån och kreditkortsskulder,Kortsiktige lån og kredittkortgjeld,Lyhytaikaiset lainat ja luottokorttivelat
B,Headline,Short-Term Receivables & Locked Savings,Short-Term Receivables & Fixed Savings,Kortfristede tilgodehavender & bundet opsparing,Kortfristiga fordringar & bundet sparande,Kortsiktige fordringer & bundet sparing,Lyhytaikaiset saamiset & sidotut säästöt
,Subtitle,"Certificates of Deposit (CDs), Money owed to you by friends/family/business, Short-term private loans, Pending payouts","Deposits, money owed to you, short-term private loans, pending payouts","Depositum, tilgodehavender, kortfristede private lån, afventende udbetalinger","Depositioner, fordringar, kortfristiga privatlån, väntande utbetalningar","Depositum, tilgodehavender, kortsiktige private lån, avventende utbetalinger","Takuuvuokrat/vakuudet, saamiset, lyhytaikaiset yksityislainat, odotettavissa olevat maksut"
B2,Headline,Personal Debt & Current Obligations,Personal Debt & Current Liabilities,Personlig gæld & løbende forpligtelser,Personliga skulder & löpande förpliktelser,Personlig gjeld & løpende forpliktelser,Henkilökohtaiset velat & juoksevat velvoitteet
,Subtitle,"Personal loans, Outstanding medical bills, Tax bills due this year, Unpaid invoices","Personal loans, outstanding medical bills, tax liabilities due this year, unpaid invoices","Forbrugslån, udestående lægeregninger, restskat for indeværende år, ubetalte regninger","Privatlån/blankolån, obetalda vårdräkningar, kvarskatt för året, obetalda räkningar","Forbrukslån, utestående legeregninger, restskatt for inneværende år, ubetalte regninger","Kulutusluotot, erääntyvät terveydenhuoltomaksut, kuluvan vuoden jäännösverot, maksamattomat laskut"
C,Headline,Longer-Term Investments,Long-Term Investments,Langsigtede investeringer,Långsiktiga investeringar,Langsiktige investeringer,Pitkäaikaiset sijoitukset
,Subtitle,"Stock portfolio (ETFs, index funds), Brokerage accounts, Rental properties, Crypto, Private equity, Angel investments, Gold/Commodities","Share portfolio, investment accounts, buy-to-let properties, crypto, private equity","Aktieportefølje, depotkonti, udlejningsejendomme, krypto, unoterede aktier","Aktieportfölj, ISK/aktiedepåer, hyresfastigheter, krypto, onoterade aktier","Aksjeportefølje, aksjesparekonto (ASK), utleieeiendom, krypto, unoterte aksjer","Osakesalkku, osakesäästötilit/arvo-osuustilit, sijoitusasunnot, kryptovaluutat, listaamattomat osakkeet"
C2,Headline,Debt Linked to Long-Term Assets,Debt Linked to Long-Term Assets,Gæld knyttet til langsigtede aktiver,Skulder kopplade till långsiktiga tillgångar,Gjeld knyttet til langsiktige eiendeler,Pitkäaikaiseen omaisuuteen kohdistuvat velat
,Subtitle,"Investment property mortgages, Investment margin debt, Commercial real estate loans","Buy-to-let mortgages, investment debt, commercial property loans","Investeringsrealkreditlån, investeringsgæld, erhvervsejendomslån","Investeringslån, fastighetslån för uthyrning, kommersiella fastighetslån","Investeringslån, sekundærboliglån, næringseiendomslån","Sijoitusasuntolainat, sijoitusvelka, liikekiinteistölainat"
C3,Headline,Potential Tax Liability,Potential Tax Liabilities,Latent skatteforpligtelse,Latent skatteskuld,Latent skatteforpliktelse,Mahdollinen verovelka
,Subtitle,"Capital gains tax on unrealized stock gains, Deferred taxes on property sales, Exit taxes","Capital gains tax on unrealised share gains, deferred tax","Kapitalgevinstskat af urealiserede aktiegevinster, udskudt skat","Kapitalvinstskatt på orealiserade aktievinster, uppskjuten skatt","Gevinstskatt på urealiserte aksjegevinster, utsatt skatt","Unrealisoituneiden osakevoittojen luovutusvoittovero, lykätty vero"
D,Headline,Personal Home & Lifestyle Assets,Main Residence & Lifestyle Assets,Primær bolig & livsstilsaktiver,Egen bostad & livsstilstillgångar,Primærbolig & livsstilseiendeler,Vakituinen asunto & elämäntapaomaisuus
,Subtitle,"Primary residence valuation, Cars/Vehicles, Jewelry, Fine art, Boats/RVs, Collectibles","Main residence valuation, vehicles, jewellery, collectibles","Værdi af primær bolig, køretøjer, smykker, samlerobjekter","Värdering av permanentbostad, fordon, smycken, samlarobjekt","Verdi på primærbolig, kjøretøy, smykker, samleobjekter","Vakituisen asunnon arvo, ajoneuvot, korut, keräilykohteet"
D2,Headline,Mortgage & Personal Debt,Mortgages & Personal Debt,Realkredit- & forbrugsgæld,Bolån & privatlån,Boliglån & personlig gjeld,Asuntolaina & muut henkilökohtaiset velat
,Subtitle,"Primary residence mortgage, Auto loans, Boat/RV financing, Home equity loans (HELOC)","Main residence mortgage, auto loans, other loans","Realkreditlån i primær bolig, billån, øvrige lån","Bolån på permanentbostad, billån, övriga lån","Boliglån på primærbolig, billån, andre lån","Vakituisen asunnon asuntolaina, autolainat, muut laidat"
E,Headline,Pension & Reserves,Pensions & Reserves,Pension & reserver,Pension & reserver,Pensjon & reserver,Eläkkeet & puskurirahastot
,Subtitle,"Pension funds, Corporate pensions, State pension estimates, Locked funds","Pension funds, workplace pensions, State Pension, other funds","Pensionsopsparing, arbejdsmarkedspension, folkepension, andre fonde","Pensionsfonder, tjänstepension, allmän pension, övriga fonder","Pensjonssparing, tjenestepensjon, alderspensjon fra folketrygden, andre fond","Eläkerahastot, työeläke, kansaneläke, muut rahastot"
J,Headline,Salary & Income,Salary & Income,Løn & indkomst,Lön & inkomster,Lønn & inntekt,Palkka & tulot
,Subtitle,"Monthly net salary, Freelance/Side-gig income, Rental income, Dividends, Bonuses","Monthly net salary, other income, rental income, dividends, bonuses","Månedlig nettoløn, anden indkomst, lejeindtægt, udbytte, bonusser","Månatlig nettolön, övriga inkomster, hyresinkomster, aktieutdelningar, bonusar","Månedlig nettolønn, annen inntekt, leieinntekt, aksjeutbytte, bonuser","Kuukausittainen nettopalkka, muut tulot, vuokratulot, osingot, bonukset"
K,Headline,Monthly Expenses,Monthly Expenses,Månedlige udgifter,Månatliga utgifter,Månedlige udgifter,Kuukausittaiset menot
