Block,Field,US,UK English,Dansk (DK),Svenska (SE),Norsk (NO)
A,Headline,Highly Liquid Assets,Highly Liquid Assets,Likvide midler,Likvida medel,Likvide midler
,Subtitle,"Cash, savings and readily accessible assets","Cash, savings and readily accessible assets","Kontanter, opsparing og lettilgængelige midler","Kontanter, sparande och lättillgängliga tillgångar","Kontanter, sparing og lett tilgjengelige midler"
A2,Headline,Short-Term Debt,Short-Term Debt,Kortfristet gæld,Kortfristiga skulder,Kortsiktig gjeld
,Subtitle,Short-term borrowing and credit balance,Short-term borrowing and credit balance,Kortfristede lån og kreditbalance,Kortfristade lån och kreditbalanser,Kortsiktige lån og kredittbalanser
B,Headline,Short-Term Receivables & Locked Savings,Short-Term Receivables & Locked Savings,Tilgodehavender & kortfristet bundne midler,Kortfristiga fordringar & låst sparande,Kortsiktige fordringer & bundet sparing
,Subtitle,"Certificates of Deposit (CDs), Money owed to you by friends/family/business, Short-term private loans, Pending payouts",Assets less liquid and debtors,Mindre likvide aktiver og tilgodehavender,Mindre likvida tillgångar och fordringar,Mindre likvide eiendeler og fordringer
B2,Headline,Personal Debt & Current Obligations,Personal Debt & Current Obligations,Personlig gæld & løbende forpligtelser,Privatskulder & löpande förpliktelser,Personlig gjeld & løpende forpliktelser
,Subtitle,"Personal loans, Outstanding medical bills, Tax bills due this year, Unpaid invoices",Personal debt and short-term obligations,Personlig gæld og kortfristede forpligtelser,Personliga skulder och kortfristiga förpliktelser,Personlig gjeld og kortsiktige forpliktelser
C,Headline,Longer-Term Investments,Longer-Term Investments,Langsigtede investeringer,Långsiktiga investeringar,Langsiktige investeringer
,Subtitle,"Stock portfolio (ETFs, index funds), Brokerage accounts, Rental properties, Crypto, Private equity, Angel investments, Gold/Commodities","Real estate, stocks and alternative assets","Investeringsejendomme, aktier og alternative aktiver","Investeringsfastigheter, aktier och alternativa tillgångar","Investeringseiendom, aksjer og alternative eiendeler"
C2,Headline,Debt Linked to Long-Term Assets,Debt Linked to Long-Term Assets,Gæld knyttet til langsigtede investeringer,Skulder kopplade till långsiktiga tillgångar,Gjeld knyttet til langsiktige eiendeler
,Subtitle,"Investment property mortgages, Investment margin debt, Commercial real estate loans",Long-term debt obligations,Langsigtede gældsforpligtelser,Långsiktiga skuldförpliktelser,Langsiktige gjeldsforpliktelser
C3,Headline,Potential Tax Liability,Potential Tax Liability,Forventet skatteforpligtelse,Potentiell skatteskuld,Forventet skatteforpliktelse
,Subtitle,"Capital gains tax on unrealized stock gains, Deferred taxes on property sales, Exit taxes",Tax linked to long-term investments,Skat knyttet til langsigtede investeringer,Skatt kopplad till långsiktiga investeringar,Skatt knyttet til langsiktige eiendeler
D,Headline,Personal Home & Lifestyle Assets,Personal Home & Lifestyle Assets,Helårsbolig & livsstilsaktiver,Bostad & livsstilstillgångar,Primærbolig & livsstilseiendeler
,Subtitle,"Primary residence valuation, Cars/Vehicles, Jewelry, Fine art, Boats/RVs, Collectibles",Private home and personal assets,Egen bolig og personlige aktiver,Egen bostad och personliga tillgångar,Egen bolig og personlige eiendeler
D2,Headline,Mortgage & Personal Debt,Mortgage & Personal Debt,Realkredit- & forbrugsgæld,Bolån & privata fordringsskulder,Boliglån & personlig gjeld
,Subtitle,"Primary residence mortgage, Auto loans, Boat/RV financing, Home equity loans (HELOC)",Mortgage and debt linked to personal assets,Realkreditlån og gæld knyttet til personlige aktiver,Bolån och skulder kopplade till personliga tillgångar,Boliglån og gjeld knyttet til personlige eiendeler
E,Headline,Pension & Reserves,Pension & Reserves,Pension & reserver,Pension & reserver,Pensjon & reserver
,Subtitle,"Pension funds, Corporate pensions, State pension estimates, Locked  funds",Retirement and precautionary reserves,Pensionsopsparing og forsigtighedsreserver,Pensionssparande och trygghetsreserver,Pensjonssparing og trygghetsreserver
J,Headline,Salary & Income,Salary & Income,Løn & indkomst,Lön & inkomster,Lønn & inntekt
,Subtitle,"Monthly net salary, Freelance/Side-gig income, Rental income, Dividends, Bonuses",Monthly salary or income,Månedlig løn eller indtægt,Månatlig lön eller inkomst,Månedlig lønn eller inntekt
K,Headline,Monthly Expenses,Monthly Expenses,Månedlige udgifter,Månadskostnader,Månedlige utgifter
,Subtitle,"Rent, Grocery budget, Utilities, Subscriptions, Insurance , Dining out",Regular household expenses,Faste og variable husholdningsudgifter,Fasta och rörliga hushållskostnader,Faste og variable husholdningsutgifter
